precdesc,age,aacong,conparty,conperct,conterms,aasenate,senparty,senterms,senperct,aavoter,gen2004,aa2004v,VAP3,BVAP3,bvperct,votperc,NBVAP,nbvote,nbvtpct,Nprecincts100
GREENMONT,3,0,0,64,0,0,0,7,99,157,666,119,2596,376,.31648937,.25654852,2117,547,.2583845,.40000001
FLAT ROCK,3,0,0,55,7,0,0,1,66.7,3,1981,3,2356,11,.27272728,.84083194,2205,1978,.89705217,.34999999
ROWAN,3,0,1,63,4,0,1,6,54.5,346,1007,291,2186,604,.48178807,.46065873,1530,716,.46797386,.23
W18,3,0,1,72,4,0,0,0,65.09999999999999,21,908,18,1895,53,.33962265,.47915566,1705,890,.52199411,.46000001
009,3,0,0,55,3,0,0,1,66.7,504,792,386,2054,863,.44727695,.38558909,974,406,.41683778,.46000001
SOUTH BURG,3,0,1,72,4,0,1,14,54.6,562,1535,435,3492,1146,.37958115,.43957618,2146,1100,.51258153,.17
WEAVER DAI,3,0,1,64,9,0,1,4,65.7,158,2141,123,3122,282,.43617022,.68577832,2801,2018,.72045696,.43000001
NEWLAND #,3,0,0,64,0,0,1,1,49,2,1054,2,1552,2,1,.6791237,1498,1052,.70226967,.19
NEW BETHEL,3,0,0,59,0,0,0,2,84.7,43,1712,41,2988,92,.44565219,.57295853,2879,1671,.58040988,.31
TROY 2,3,0,0,55,3,0,0,1,64.7,126,916,98,2454,733,.13369714,.37326813,1686,818,.485172,.14
BLOWING RO,3,0,0,59,0,0,0,5,61.8,6,1632,4,2361,13,.30769232,.6912325,2364,1628,.6886633,.2
SOUTH MEAD,3,0,1,63,4,0,0,1,57.7,20,666,15,1491,87,.1724138,.44668007,1222,651,.5327332,.34
WHALEHEAD,3,0,0,71,5,0,1,10,66.59999999999999,2,274,2,529,5,.40000001,.5179584,436,272,.62385321,.11
GB12,3,0,0,71,5,0,1,1,51.8,304,1392,243,2222,391,.62148339,.62646264,1782,1149,.64478117,.23
G08,3,0,1,59,1,0,1,3,56.2,742,1173,592,2835,1167,.50728363,.41375661,1606,581,.36176836,1.59
WACCAMAW,3,0,1,72,4,0,1,14,54.6,111,1000,84,2428,161,.52173913,.41186163,1978,916,.46309403,.23
JOBS CABIN,3,0,0,59,0,0,0,5,61.8,0,213,0,382,0,,.55759162,375,213,.56800002,.28999999
ROSEBORO,3,0,1,72,4,0,1,6,54.5,112,710,93,1892,239,.38912135,.37526426,1598,617,.38610762,.23
SHOOTING C,3,0,0,55,7,0,0,8,56.5,0,670,0,1135,9,0,.59030837,1049,670,.63870353,.090000004
TOWNCREEK,3,0,1,72,4,0,1,14,54.6,305,1522,242,3427,510,.47450981,.44412023,2544,1280,.50314468,.23
01,3,0,0,55,3,0,1,3,57.4,1284,1376,1002,3626,2318,.43226919,.37948152,1300,374,.28769231,.1
M03,3,0,1,72,4,0,0,0,65.09999999999999,172,1650,142,3383,234,.60683763,.48773277,2915,1508,.51732421,.46000001
024,3,0,0,70,5,0,0,1,66.7,92,1287,81,2900,172,.47093022,.44379312,2231,1206,.54056478,.46000001
FRANKLINVI,3,0,0,73,10,0,0,1,64.7,59,1252,47,2829,131,.35877863,.44255921,2596,1205,.46417564,.40000001
SHERRILLS,3,0,0,64,0,0,0,7,99,134,1983,118,3104,207,.57004833,.63885307,2762,1865,.67523533,.40000001
HAYESVILLE,3,0,0,55,7,0,0,8,56.5,10,1753,5,2843,37,.13513513,.61660218,2613,1748,.6689629,.090000004
SOUTHWEST,3,0,0,55,7,0,0,1,66.7,15,1461,12,2676,48,.25,.54596412,2470,1449,.5866397,.34999999
MOUNT HOLL,3,0,0,70,5,0,0,1,68,361,3358,277,7880,750,.36933333,.42614213,6992,3081,.44064644,.46000001
PROSPECT,3,0,1,72,4,0,1,4,99,6,987,6,2341,14,.42857143,.42161471,2270,981,.43215859,.41
CATAWBA HE,3,0,0,70,5,0,1,6,53,57,1004,42,2796,88,.47727272,.3590844,2656,962,.3621988,.46000001
PCT 100,3,0,0,70,5,0,0,4,65.2,109,1646,77,2239,137,.56204379,.73514962,1908,1569,.82232702,1.9
WEST SELMA,3,0,1,63,4,0,0,1,57.7,382,1127,309,3458,875,.35314286,.32591093,2248,818,.363879,.34
WESTERN PR,3,0,1,72,4,0,1,14,54.6,88,302,65,616,193,.33678755,.49025974,424,237,.55896229,.25999999
PCT 69,3,0,0,70,5,0,0,4,65.2,110,2594,90,3473,121,.74380165,.74690467,3042,2504,.82314265,1.9
MT AIRY #6,3,0,0,59,0,0,0,4,61.2,8,792,5,1689,31,.16129032,.46891651,1633,787,.48193508,.28999999
WEST LEES,3,0,1,72,4,0,1,14,54.6,29,365,22,748,55,.40000001,.48796791,694,343,.49423632,.25999999
PCT 205,3,0,0,55,3,0,1,3,99,355,1387,310,2087,391,.79283887,.6645903,1539,1077,.69980508,1.9
FAIRMONT #,3,0,1,72,4,0,1,4,99,1251,1821,887,4504,1977,.4486596,.40430728,2466,934,.37875101,.41
UNION,3,0,0,73,10,0,0,1,64.7,7,981,7,2074,15,.46666667,.47299904,1982,974,.4914228,.40000001
SOUTH THOM,3,0,0,73,10,0,0,5,57.8,585,2640,373,3739,508,.73425198,.70607114,3068,2267,.73891789,.37
SHOALS,3,0,0,59,0,0,0,4,61.2,10,787,6,1435,28,.21428572,.54843205,1386,781,.56349206,.28999999
IRON DUFF,3,0,0,55,7,0,1,1,49,1,514,1,803,1,1,.64009964,771,513,.66536963,.28999999
EAST SILER,3,0,1,63,4,0,1,0,56.2,835,2315,694,6708,1528,.4541885,.34511033,4517,1621,.35886651,.23
BURNSVILLE,3,0,0,55,7,0,1,1,49,64,2148,43,3569,65,.66153848,.60184926,3437,2105,.61245275,.11
KEENER,3,0,1,63,4,0,1,6,54.5,121,733,93,1589,261,.35632184,.46129641,1284,640,.49844238,.23
12-06,3,0,0,55,3,0,0,7,66.2,280,866,211,2159,519,.40655106,.40111163,1484,655,.44137466,.43000001
HANGDMURN,3,0,0,55,7,0,0,8,56.5,0,1589,20,2900,164,.12195122,.54793102,2639,1569,.5945434,.16
G09,2,0,1,59,1,0,1,3,56.2,864,1108,686,2089,898,.76391983,.5303973,1147,422,.36791632,1.59
07,3,0,0,55,3,0,1,3,57.4,1010,1468,766,3424,1668,.45923263,.42873833,1746,702,.40206185,.1
JERUSALEM,3,0,0,59,0,0,0,1,60.2,111,962,94,2038,201,.46766168,.47203141,1695,868,.51209438,.14
ASBURY,3,0,0,64,0,0,0,1,68,32,1448,30,2479,46,.65217394,.5841065,2294,1418,.61813426,.28999999
STEELES #2,3,0,0,55,3,0,1,3,57.4,24,103,21,213,49,.42857143,.48356807,164,82,.5,.16
LATTIMORE,3,0,0,64,0,0,1,4,52.4,89,1586,72,3125,150,.47999999,.50752002,2925,1514,.51760685,.28
12-01,3,0,0,55,3,0,0,7,66.2,173,367,77,1255,525,.14666666,.29243028,661,290,.4387292,.43000001
LENOIR #1,3,0,0,64,0,0,0,9,99,342,610,253,1587,608,.41611841,.38437304,962,357,.37110186,.23999999
040,3,0,0,70,5,0,0,1,66.7,57,1387,32,2224,70,.45714286,.62365109,1762,1355,.76901251,.46000001
PLEASENTGROVE,3,0,0,73,10,0,0,1,64.7,0,246,0,456,5,0,.53947371,434,246,.56682026,.40000001
04-08,3,0,0,55,3,0,0,7,66.2,25,780,23,1483,51,.4509804,.52596086,1296,757,.58410496,.43000001
H26,3,0,0,73,10,0,1,1,64,101,1094,90,1549,105,.85714287,.70626211,1390,1004,.72230214,1.59
LENOIR #4,3,0,0,64,0,0,0,9,99,216,906,177,2695,407,.43488944,.33617809,2249,729,.32414407,.23999999
WASHINGTON,3,0,0,71,5,0,1,10,66.59999999999999,1164,3607,873,7336,2409,.36239102,.49168485,4840,2734,.56487602,.20999999
132,3,0,0,59,0,0,0,7,88.2,225,2015,208,2761,261,.79693484,.72980803,2391,1807,.75575072,1.01
04-10,3,0,0,55,3,0,0,7,66.2,171,1738,149,2865,245,.60816324,.60663176,2371,1589,.67018133,.43000001
12-11,3,0,0,55,3,0,0,7,66.2,91,893,77,2428,271,.28413284,.36779243,1952,816,.4180328,.43000001
ALLIANCE,3,0,0,71,5,0,1,2,51.7,121,870,99,1659,169,.5857988,.52441227,1505,771,.51229239,.079999998
PCT 111,3,0,0,70,5,0,0,4,65.2,76,1760,59,2625,115,.51304346,.6704762,2278,1701,.74670762,1.9
12-03,3,0,0,55,3,0,0,7,66.2,90,1037,78,1964,191,.40837696,.52800405,1604,959,.5978803,.43000001
DAVIS,3,0,0,71,5,0,1,2,51.7,0,233,0,351,0,,.66381764,336,233,.69345236,.34
LOWER TOPS,3,0,1,72,4,0,1,14,54.6,225,3437,171,7870,619,.27625203,.43672174,6633,3266,.49238655,.17
KINGS CREE,3,0,0,64,0,0,0,9,99,52,680,42,1371,79,.5316456,.49598834,1270,638,.50236219,.23999999
TURNERSBUR,3,0,0,59,0,0,0,7,99,242,1347,225,2929,441,.51020408,.45988393,2246,1122,.49955475,.28999999
SOUTH WEST,3,0,0,59,0,0,0,4,61.2,14,718,12,1565,43,.27906978,.45878595,1500,706,.47066668,.28999999
NORTH LOCK,3,0,0,73,10,0,0,1,60.2,193,1486,165,2879,289,.57093424,.51615143,2520,1321,.52420634,.44
EDWARDS #3,3,0,0,59,0,0,0,5,61.8,1,1674,1,3108,11,.090909094,.53861004,3038,1673,.55069125,.28999999
GOLDSTON,3,0,1,63,4,0,1,0,56.2,399,1448,321,2607,636,.50471699,.55542767,1718,1127,.65599537,.23
NEWPORT 2,3,0,0,71,5,0,1,2,51.7,38,1306,33,2489,86,.38372093,.52470875,2301,1273,.55323774,.34
PCT 234,3,0,0,70,5,0,0,1,66.7,242,1647,196,3615,267,.7340824,.45560166,3039,1451,.4774597,1.9
TRANTERS C,3,0,0,71,5,0,1,10,66.59999999999999,195,1324,171,2167,358,.47765362,.61098295,1777,1153,.64884639,.20999999
ICARD 05,3,0,0,64,0,0,0,9,99,4,788,4,1833,14,.2857143,.42989635,1815,784,.43195593,.31
TROY 1,3,0,0,55,3,0,0,1,64.7,334,1210,268,2495,552,.48550725,.48496994,1903,942,.49500787,.14
ALBEMARLE,3,0,0,55,3,0,1,3,57.4,1276,6046,1049,11726,2076,.50529867,.51560634,9529,4997,.52439922,.23999999
BEAVERDAM,3,0,0,59,0,0,0,5,61.8,1,636,1,973,5,.2,.6536485,975,635,.65128207,.2
GREEN MOUN,3,0,0,55,7,0,1,1,49,0,357,0,494,0,,.72267205,485,357,.73608249,.11
NORTH GRAN,3,0,0,73,10,0,0,1,60.2,170,1183,134,1780,189,.70899469,.66460675,1548,1049,.6776486,.44
BACK SWAMP,3,0,1,72,4,0,1,4,99,360,925,284,4061,1413,.2009908,.22777641,2583,641,.24816105,.41
G59,3,0,1,59,1,0,1,3,56.2,507,815,441,1720,682,.64662755,.4738372,1000,374,.37400001,1.59
BANOAK,3,0,0,64,0,0,0,7,99,25,1328,22,2315,41,.53658539,.57365012,2168,1306,.60239851,.40000001
NORTH ONEA,3,0,1,63,4,0,0,1,57.7,337,1302,282,3180,761,.37056506,.40943396,2106,1020,.48433048,.34
04-03,3,0,0,55,3,0,0,7,66.2,492,1639,424,3155,717,.59135288,.51949286,2206,1215,.55077064,.43000001
MARION #4,3,0,0,55,7,0,1,1,49,8,517,4,1593,24,.16666667,.32454488,1614,513,.31784385,.17
MARSHALLBE,3,0,0,71,5,0,1,2,51.7,0,279,0,505,0,,.55247527,484,279,.57644629,.34
CODDLE CRE,3,0,0,64,0,0,0,7,66.2,1162,10230,946,19339,2258,.41895482,.52898288,15420,9284,.60207522,.28999999
PIGEON CEN,3,0,0,55,7,0,0,8,56.5,1,748,0,1329,1,0,.5628292,1277,748,.58574784,.28999999
NORTH COVE,3,0,0,55,7,0,1,1,49,1,418,1,840,2,.5,.49761903,862,417,.48375869,.17
PCT 5,3,0,0,55,3,0,1,3,99,384,680,301,2629,866,.34757507,.25865349,1600,379,.236875,1.9
NORTH FRAN,3,0,0,55,7,0,0,8,56.5,31,1487,21,2302,60,.34999999,.64596003,2187,1466,.67032462,.15000001
FAUCETTE,3,0,0,73,10,0,0,5,57.8,116,1488,62,2674,158,.39240506,.55646968,2389,1426,.59690249,.37
G35,3,0,0,73,10,0,1,3,56.2,20,976,12,1172,23,.52173913,.83276451,1106,964,.87160939,1.59
"CLINTON, S",3,0,1,63,4,0,1,6,54.5,185,922,150,2278,484,.30991736,.40474099,1735,772,.44495678,.23
PCT 74,3,0,0,70,5,0,0,4,65.2,30,1417,24,2597,55,.43636364,.54562956,2307,1393,.60381448,1.9
ELLENDALE,3,0,0,59,0,0,0,5,61.8,78,1493,51,2486,109,.4678899,.60056317,2298,1442,.6275022,.16
TURNBULL,3,0,1,72,4,0,1,8,63.4,139,277,118,526,199,.59296483,.52661598,320,159,.49687499,.17
CRABTREE,3,0,0,55,7,0,1,1,49,0,842,0,1156,4,0,.72837371,1108,842,.75992781,.28999999
PITTSBORO,3,0,1,63,4,0,1,0,56.2,946,3217,813,5399,1616,.50309408,.59585106,3299,2404,.72870564,.23
GUMNECK,3,0,0,71,5,0,1,10,66.59999999999999,50,114,28,257,86,.3255814,.44357976,172,86,.5,.059999999
10-00,3,0,0,55,3,0,0,7,66.2,140,2451,122,4159,257,.47470817,.58932436,3531,2329,.65958655,.43000001
COVE CREEK,3,0,0,59,0,0,0,5,61.8,4,1402,2,2261,4,.5,.62007964,2272,1400,.61619717,.2
TOLARS,3,0,1,64,9,0,1,4,65.7,262,914,243,1336,334,.7275449,.68413174,989,671,.6784631,.43000001
PROSPECT,3,0,0,73,10,0,0,1,64.7,45,993,34,2564,84,.40476191,.3872855,2386,959,.40192792,.40000001
GIB,3,0,0,73,10,0,0,2,84.7,287,1246,220,2154,381,.5774278,.57845867,1706,1026,.60140681,1.59
ST JOHN,3,0,1,64,9,0,1,4,65.7,356,1806,326,2209,511,.63796479,.81756449,1675,1480,.88358212,.43000001
JEFFERSON,3,0,0,59,0,0,0,5,61.8,30,1848,19,3443,39,.48717949,.5367412,3300,1829,.55424243,.17
ALLENS CRE,3,0,0,55,7,0,1,1,49,1,1140,1,2158,4,.25,.52826691,2072,1139,.54971045,.28999999
PATTERSON,3,0,0,73,10,0,0,5,57.8,196,1653,114,3167,278,.41007194,.52194506,2743,1539,.56106454,.37
G39,3,0,1,59,1,0,0,2,84.7,88,1128,62,2017,91,.6813187,.55924642,1853,1066,.57528335,1.59
704,3,0,0,59,0,0,0,7,88.2,118,1121,110,1939,232,.47413793,.57813305,1632,1011,.61948532,1.01
DANIELS/VA,3,0,0,64,0,0,0,1,68,21,1439,14,2655,51,.27450982,.54199624,2455,1425,.58044809,.28999999
CHARITY,3,0,1,72,4,0,1,6,54.5,484,704,391,1431,668,.58532935,.49196365,725,313,.43172413,.19
HARRIS,3,0,1,63,4,0,1,6,53.9,413,2461,357,4840,787,.45362136,.50847107,3606,2104,.58347201,.17
SOUTH BANN,3,0,1,63,4,0,0,1,57.7,229,538,126,1567,514,.24513619,.34333122,917,412,.44929117,.34
NEBO,3,0,0,55,7,0,1,1,49,60,1548,47,2779,119,.39495799,.55703491,2738,1501,.54821038,.17
OPHIR,3,0,0,55,3,0,0,1,64.7,0,216,0,379,0,,.56992084,371,216,.58221024,.14
01-04,3,0,0,55,3,0,0,7,66.2,242,1564,208,2451,336,.61904764,.63810688,1914,1356,.70846397,.43000001
OLD FORT #,3,0,0,55,7,0,1,1,49,117,1384,92,3078,184,.5,.44964263,2978,1292,.43384823,.17
DOBSON #2,3,0,0,59,0,0,0,4,61.2,6,1349,4,2939,36,.11111111,.45899966,2861,1345,.47011533,.28999999
HOOPERS CR,3,0,0,55,7,0,0,1,66.7,9,1293,7,1759,10,.69999999,.73507673,1644,1286,.78223842,.34999999
GREENWOOD,3,0,1,63,4,0,1,0,56.2,349,2708,311,5117,510,.60980392,.52921635,4631,2397,.51759881,.13
NORTH CALA,3,0,0,59,0,0,0,1,60.2,84,613,72,1215,144,.5,.50452673,988,541,.54757082,.14
FERRELLS,3,0,1,63,4,0,1,2,60.1,153,929,137,1945,329,.41641337,.47763497,1563,792,.50671786,.25999999
CRANBERRY,3,0,0,59,0,0,0,4,61.2,1,170,0,378,9,0,.44973546,364,170,.46703297,.07
FALLS,3,0,0,73,10,0,0,1,64.7,14,1191,13,2402,28,.4642857,.49583679,2284,1178,.51576179,.40000001
FR1,3,0,0,73,10,0,1,1,64,410,1463,338,2787,426,.79342723,.52493721,2273,1125,.49494061,1.59
FALLING CR,3,0,0,71,5,0,1,6,54.5,285,2438,234,4384,702,.33333334,.55611312,3750,2204,.58773333,.22
WHITEHEAD,3,0,0,59,0,0,0,4,61.2,0,381,0,742,3,0,.51347709,730,381,.52191782,.07
ALLIGATOR,3,0,0,71,5,0,1,10,66.59999999999999,159,144,124,281,243,.51028806,.51245552,38,20,.52631581,.059999999
KINGSTOWN,3,0,0,64,0,0,1,4,52.4,479,613,391,1000,569,.68717045,.61299998,424,222,.5235849,.28
REDDIES RI,3,0,0,59,0,0,0,5,61.8,2,2455,1,4623,13,.07692308,.53104043,4522,2454,.5426802,.28999999
KENANSVILL,3,0,1,72,4,0,1,6,54.5,877,1738,719,3918,1791,.40145171,.44359368,2021,1019,.50420582,.19
SOUTH CHIN,3,0,0,73,10,0,0,1,60.2,102,900,86,1996,191,.45026177,.45090181,1756,814,.46355352,.44
MOORES GRO,3,0,0,55,7,0,0,1,66.7,27,681,20,1480,50,.40000001,.46013513,1344,661,.49181548,.34999999
SMYRNA,3,0,1,72,4,0,1,4,99,241,508,181,1386,517,.3500967,.36652237,848,327,.3856132,.41
FAISON,3,0,1,72,4,0,1,6,54.5,298,773,237,2002,717,.33054394,.38611388,1221,536,.43898445,.19
FULTON,3,0,0,59,0,0,0,1,60.2,63,936,55,1656,104,.52884614,.56521738,1432,881,.61522347,.14
021,3,0,0,59,0,0,0,7,88.2,123,2056,103,3559,233,.44206008,.57769036,3181,1953,.61395788,1.01
BOOMER,3,0,0,59,0,0,0,5,61.8,107,849,90,1657,208,.43269232,.51237178,1421,759,.53413087,.28999999
809,3,0,0,59,0,0,0,7,88.2,46,1853,39,2126,54,.72222221,.87158984,1981,1814,.91569912,1.01
BOILING SP,3,0,1,72,4,0,1,14,54.6,38,1971,34,3003,80,.42500001,.65634364,2549,1937,.75990587,.23
38,2,0,1,64,9,0,1,0,56.2,817,2871,693,5688,1289,.53762609,.50474685,4120,2178,.52864075,.55000001
EDNEYVILLE,3,0,0,55,7,0,0,1,66.7,24,1148,20,2248,52,.38461539,.51067615,2064,1128,.54651165,.34999999
PCT 242,3,0,0,70,5,0,0,1,54.6,64,1619,52,2016,72,.72222221,.80307537,1765,1567,.88781869,1.9
FRANS,3,0,0,59,0,0,0,4,61.2,23,416,22,694,39,.56410259,.59942365,647,394,.60896444,.2
PCT 71,3,0,0,70,5,0,0,4,65.2,106,1387,89,1788,117,.76068377,.77572709,1517,1298,.85563612,1.9
MOREHEAD 1,3,0,0,71,5,0,1,2,51.7,195,1243,158,2428,379,.41688654,.511944,1962,1085,.55300713,.34
DAVIDSON #,3,0,0,64,0,0,0,1,68,181,9775,146,13092,201,.72636819,.74663919,11638,9629,.82737583,.28999999
WOLFSCRAPE,3,0,0,71,5,0,1,6,54.5,56,792,39,2472,152,.25657895,.32038835,2205,753,.34149659,.19
708,3,0,0,59,0,0,1,3,99,482,1924,434,2970,591,.73434854,.64781147,2276,1490,.6546573,1.01
HAYNES,3,0,0,64,0,0,1,4,52.4,108,1019,89,2293,201,.44278607,.44439599,2073,930,.44862518,.23999999
SWIFT CREE,3,0,0,71,5,0,1,1,66.7,65,573,56,1121,116,.48275861,.51115078,958,517,.539666,.38
SMAD,3,0,0,73,10,0,0,2,84.7,332,1388,286,1923,345,.82898551,.72178888,1519,1102,.72547728,1.59
ROCK GROVE,3,0,0,73,10,0,0,1,60.2,16,1040,10,2093,50,.2,.49689442,1987,1030,.51836938,.44
TAPOCO,3,0,0,55,7,0,0,8,56.5,0,310,0,516,1,0,.60077518,510,310,.60784316,.039999999
EAST FLAT,3,0,0,55,7,0,0,1,66.7,42,1341,34,3082,96,.35416666,.43510708,2807,1307,.46562165,.34999999
SOUTH CALA,3,0,0,59,0,0,0,1,60.2,39,607,36,1142,70,.51428574,.53152364,989,571,.57735085,.14
PCT 59,3,0,0,70,5,0,0,4,65.2,89,864,72,2302,223,.32286996,.3753258,1887,792,.41971382,1.9
BLACK RIVE,3,0,1,63,4,0,0,1,54.4,590,2975,441,6581,1028,.42898834,.45205897,5009,2534,.50588942,.22
DENTON #12,3,0,0,73,10,0,0,2,99,0,546,0,1116,2,0,.48924732,1070,546,.51028037,.41999999
EAST SANFO,3,0,1,63,4,0,1,0,56.2,686,1223,555,4813,1919,.28921312,.25410348,2910,668,.22955327,.13
LONG SHOAL,3,0,0,64,0,0,0,1,68,3,867,3,1668,18,.16666667,.51978415,1555,864,.55562699,.28999999
FP02,3,0,1,72,4,0,0,0,65.09999999999999,7,1323,5,2477,31,.16129032,.53411382,2264,1318,.58215547,.46000001
ATLANTIC B,3,0,0,71,5,0,1,2,51.7,6,765,3,1699,10,.30000001,.45026487,1617,762,.47124305,.34
PINNACLE,3,0,0,59,0,0,0,4,61.2,56,1200,45,2194,74,.6081081,.54694623,2095,1155,.55131263,.2
TAYLORS,3,0,0,71,5,0,1,2,60.1,532,2844,473,3705,548,.86313868,.76761132,3068,2371,.77281618,.25
04-05,3,0,0,55,3,0,0,7,66.2,145,810,120,2529,280,.42857143,.32028469,2036,690,.33889979,.43000001
BRENTWOOD,3,0,0,55,3,0,1,8,63.4,520,1101,420,2538,976,.43032786,.43380615,1533,681,.44422701,.64999998
PCT 117,3,0,0,55,3,0,1,3,99,552,1097,435,2896,895,.48603353,.37879834,1816,662,.36453745,1.9
ICARD 01,3,0,0,64,0,0,0,9,99,7,1275,6,2856,24,.25,.44642857,2826,1269,.44904459,.31
HEALING SP,3,0,0,73,10,0,0,2,99,2,926,1,2013,10,.1,.46000993,1923,925,.48101923,.41999999
PCT 95,3,0,0,55,3,0,1,3,99,697,1060,571,2662,1027,.55598831,.39819685,1484,489,.32951483,1.9
OAK GROVE,3,0,0,64,0,0,1,4,52.4,127,1797,112,3476,168,.66666669,.51697356,3252,1685,.5181427,.28
SILVER VAL,3,0,0,73,10,0,0,2,99,2,949,1,2172,4,.25,.43692449,2082,948,.45533141,.41999999
DYSARTSVIL,3,0,0,55,7,0,1,1,49,6,817,1,2093,26,.03846154,.39034879,2127,816,.38363892,.17
WEST BURLI,3,0,0,73,10,0,0,5,57.8,117,1225,70,2329,179,.39106146,.52597684,2041,1155,.56589907,.37
PCT 96,3,0,0,70,5,0,0,4,65.2,111,1323,91,2683,202,.45049506,.49310473,2252,1232,.54706925,1.9
BRICKTON,3,0,0,55,7,0,0,1,66.7,96,197,81,564,137,.59124088,.34929079,401,116,.28927681,.34999999
W13,2,0,1,72,4,0,0,0,65.09999999999999,282,808,224,3115,545,.41100916,.25939006,2379,584,.2454813,.46000001
W24,2,0,1,72,4,0,0,0,65.09999999999999,108,1359,71,5077,358,.19832402,.26767775,4369,1288,.2948043,.46000001
COTTON GRO,3,0,0,73,10,0,0,2,99,133,1399,111,2772,175,.63428569,.50468975,2494,1288,.51643944,.41999999
VANDEMERE,3,0,0,71,5,0,1,2,51.7,232,334,190,552,302,.62913907,.60507244,253,144,.56916994,.079999998
MONTFORD C,3,0,0,55,7,0,1,1,49,5,847,3,1602,10,.30000001,.52871412,1639,844,.51494813,.17
02 - EUREK,3,0,0,71,5,0,0,1,50.9,599,2693,514,3067,561,.91622102,.8780567,2486,2179,.87650847,.30000001
CANE CREEK,3,0,0,64,0,0,1,1,49,0,407,0,601,0,,.67720467,596,407,.68288589,.090000004
PCT 64,3,0,0,55,3,0,1,3,99,206,702,158,1929,378,.41798943,.36391914,1408,544,.38636363,1.9
WEST BOONE,3,0,0,73,10,0,0,5,57.8,138,1638,87,1802,131,.66412216,.90899003,1587,1551,.97731566,.37
02,3,0,0,55,3,0,1,3,57.4,700,860,513,2308,1299,.39491916,.37261698,1003,347,.34596211,.1
SHELBY #8,3,0,0,64,0,0,1,4,52.4,321,1190,291,2278,437,.66590387,.52238804,1809,899,.49695966,.28
WHITE STOR,3,0,0,55,3,0,1,3,57.4,94,152,68,316,123,.55284554,.48101267,194,84,.43298969,.11
YADKIN VAL,3,0,0,64,0,0,0,9,99,10,544,9,1020,13,.69230771,.53333336,990,535,.54040402,.23999999
PINEOLA,3,0,0,64,0,0,1,1,49,0,734,0,1218,0,,.60262728,1177,734,.62361938,.19
CYRESSCK,3,0,0,71,5,0,1,1,51.8,56,401,40,684,89,.44943821,.58625734,594,361,.6077441,.07
CEDAR MOUN,3,0,0,55,7,0,0,8,56.5,0,462,0,756,0,,.6111111,752,462,.6143617,.18000001
G29,3,0,1,59,1,0,1,3,56.2,227,1098,174,2393,350,.49714285,.45883828,1966,924,.46998984,1.59
ARAPAHOE,3,0,0,71,5,0,1,2,51.7,239,1260,198,1987,324,.6111111,.63412178,1680,1062,.63214284,.079999998
QUAKER MEA,3,0,0,64,0,0,0,9,99,516,3201,433,4985,672,.64434522,.64212638,4303,2768,.64327216,.31
BLACK MOUN,3,0,0,55,7,0,1,0,55.9,189,4031,152,10030,480,.31666666,.40189433,9164,3879,.42328677,.72000003
SYLVA-SOUT,3,0,0,55,7,0,0,8,56.5,50,1652,37,3503,96,.38541666,.47159576,3241,1615,.498303,.18000001
CHADBOURN,3,0,1,72,4,0,1,14,54.6,859,1695,642,3676,1438,.44645342,.46109903,2240,1053,.47008929,.25999999
SILVER CRE,3,0,0,64,0,0,0,9,99,275,3599,226,7325,494,.45748988,.49133107,6816,3373,.49486503,.31
W20,3,0,1,72,4,0,0,0,65.09999999999999,149,621,122,1994,418,.29186603,.3114343,1459,499,.34201509,.46000001
SALEMBURG,3,0,1,72,4,0,1,6,54.5,83,580,64,1136,180,.35555556,.51056337,924,516,.55844158,.23
GWALTNEY #,3,0,0,59,0,0,0,5,61.8,42,1008,23,1672,64,.359375,.60287082,1554,985,.63384813,.16
PCT 94,3,0,0,70,5,0,1,3,99,491,1117,407,2943,868,.468894,.37954468,1883,710,.37705788,1.9
JOHNSONVIL,3,0,1,63,4,0,0,1,54.4,653,1990,574,5293,1272,.45125785,.37596825,3627,1416,.3904053,.22
IVY 1+2,3,0,0,55,7,0,1,0,55.9,3,1614,3,2846,4,.75,.56711173,2727,1611,.5907591,.72000003
BEAVER CRE,3,0,0,71,5,0,1,1,51.8,134,372,108,755,235,.45957446,.49271524,519,264,.50867051,.07
027,3,0,0,55,3,0,0,1,66.7,753,1563,564,2932,921,.61237782,.5330832,1645,999,.60729486,.46000001
MILL CREEK,3,0,0,71,5,0,1,2,51.7,0,308,0,549,5,0,.56102002,521,308,.59117085,.34
NDRI,3,0,0,73,10,0,0,2,84.7,22,1247,20,1731,23,.86956519,.72039282,1644,1227,.74635035,1.59
GRAHAM 3,3,0,1,59,1,0,0,5,57.8,611,1318,401,3812,857,.46791133,.34575027,2806,917,.32679972,.37
LOVELADY-T,3,0,0,64,0,0,0,9,99,13,1750,8,3532,17,.47058824,.49546999,3455,1742,.50419682,.23999999
PCT 99,2,0,0,70,5,0,1,3,99,591,821,477,3044,884,.53959274,.2697109,1961,344,.1754207,1.9
PLAINVIEW,3,0,1,72,4,0,1,6,54.5,74,1246,61,2712,236,.25847459,.45943952,2394,1185,.49498746,.23
PCT 62,3,0,0,55,3,0,1,3,99,767,1145,630,3779,1712,.36799064,.3029902,1876,515,.27452025,1.9
MARION #2,3,0,0,55,7,0,1,1,49,221,918,155,1930,349,.44412607,.47564766,1627,763,.46896127,.17
